,date,name,title
0,20181123,Rosmarie Quadranti, Nationalrätin BDP/ZH
1,20181123,Otto Hostettler, Co-Präsident Lobbywatch
2,20181123,Claudio Zanetti, Nationalrat SVP/ZH
3,20181123,Hans-Peter Portmann, Nationalrat FDP/ZH
4,20181123,Claude Longchamp, Politikwissenschafter
5,20181123,Andrea Gmür-Schönenberger, Nationalrätin CVP/LU
6,20181123,Luzian Franzini, Co-Präsident Junge Grüne
7,20181123,Silvan Amberg, Unabhängigkeitspartei UP
8,20170929,Katja Gentinetta, Politikphilosophin
9,20170929,Lukas Bärfuss, Schriftsteller
10,20170929,Claude Longchamp, Politologe
11,20170929,Hansjörg Walter, abtretender Nationalrat SVP/TG
12,20170929,Viola Amherd, Nationalrätin CVP/VS
13,20161118,Petra Gössi, Präsidentin FDP
14,20161118,Christian Levrat, Präsident SP
15,20161118,Franz Jaeger, em. Professor für Ökonomie HSG
16,20161118,Niklaus Scherr, heute AL
17,20180309,Christoph Blocher, Alt Bundesrat
18,20180309,Philipp Müller, Ständerat FDP/AG
19,20180309,Cédric Wermuth, Nationalrat SP/AG
20,20180309,Camille Lothe, Präsidentin Junge SVP/ZH
21,20180309,Matthias Oesch, Professor für Europarecht
22,20180309,Robin Udry, Generalsekretär Pro Tell
23,20180309,Urs Berner, Vorstandsmitglied Swissmem
24,20180309,Peter Gehler, Vorstandsmitglied scienceindustries
25,20170526,Albert Rösti, Präsident SVP
26,20170526,Christian Levrat, Präsident SP
27,20170526,Petra Gössi, Präsidentin FDP
28,20170526,Gerhard Pfister, Präsident CVP
29,20170526,Regula Rytz, Präsidentin Grüne
30,20170526,Martin Bäumle, Präsident GLP
31,20170526,Lorenz Hess, Vizepräsident BDP
32,20171117,Jacqueline Badran, Nationalrätin SP/ZH
33,20171117,Thomas Matter, Nationalrat SVP/ZH
34,20171117,Ruedi Noser, Ständerat FDP/ZH
35,20171117,Jean Ziegler, Soziologe und alt Nationalrat SP/GE
36,20171117,Gabriel Rumo, Direktor Swissholdings
37,20171117,Andreas Missbach, Leiter Rohstoff und Finanzen Public Eye
38,20170922,Tiana Moser, Nationalrätin GLP/ZH
39,20170922,Thomas Minder, Ständerat parteilos/SH
40,20170922,Eric Nussbaumer, Nationalrat SP/BL
41,20170922,Christoph Blocher, Chefstratege SVP und alt Bundesrat
42,20161104,Alexander Gauland, Stellv. Parteichef AfD
43,20161104,Tiana Angelina Moser, Fraktionschefin GLP
44,20161104,Eric Nussbaumer, Nationalrat SP/BL
45,20161104,Christoph Blocher, Alt Bundesrat und Chefstratege SVP
46,20170407,Hans-Ueli Vogt, Nationalrat SVP/ZH und Initiant «Selbstbestimmungsinitiative»
47,20170407,Kurt Fluri, Nationalrat FDP/SO
48,20170407,Lukas Bärfuss, Schriftsteller und Dramaturg
49,20170407,Paul Widmer, ehemaliger Botschafter
50,20170407,Maya Hertig, Professorin für Verfassungsrecht Universität Genf
51,20170407,Monika Rühl, Direktorin Economiesuisse
52,20170505,Luzi Stamm, Vizepräsident Auns
53,20170505,Markus Somm, Chefredaktor Basler Zeitung
54,20170505,Cédric Wermuth, Nationalrat SP/AG
55,20170505,Elisabeth Schneider-Schneiter, Nationalrätin CVP/BL
56,20170505,Christa Tobler, Professorin für Europarecht
57,20161202,Anita Fetz, Ständerätin SP/BS
58,20161202,Natalie Rickli, Nationalrätin SVP/ZH
59,20161202,Peter Föhn, Ständerat SVP/SZ
60,20161202,Philipp Müller, Ständerat FDP/AG
61,20161202,Ruth Humbel, Nationalrätin CVP/AG
62,20161202,Christa Tobler, Rechtsprofessorin Universität Basel
63,20161111,Katja Gentinetta, Politikphilosophin
64,20161111,Mattea Meyer, Nationalrätin SP/ZH
65,20161111,Pirmin Bischof, Ständerat CVP/SO
66,20161111,Andreas Glarner, Nationalrat SVP/AG
67,20170519,Peter Grünenfelder, Direktor Avenir Suisse
68,20170519,Markus Ritter, Präsident Schweizer Bauernverband
69,20170519,Meret Schneider, Geschäftsführerin «Sentience Politics»
70,20170519,Hans-Ulrich Huber, Geschäftsführer Schweizer Tierschutz
71,20170901,Ruth Dreifuss, alt Bundesrätin
72,20170901,Gerold Bührer, alt Nationalrat
73,20170901,Monika Bütler, Ökonomieprofessorin HSG
74,20170901,Rudolf Strahm, alt Nationalrat und Ökonom
75,20160610,Rosmarie Zapfl, Frauenrechtlerin und ehem. CVP-Nationalrätin
76,20160610,Anita Weyermann, Spitzensportlerin und heute Mutter von vier Kindern
77,20160610,Valentin Vogt, Präsident Arbeitgeberverband
78,20160610,Tiana Angelina Moser, Nationalrätin und Fraktionschefin GLP
79,20160610,Philipp Gut, stv. Chefredaktor der «Weltwoche»
80,20171110,Guy Parmelin, Bundesrat
81,20171110,Rosmarie Quadranti, Nationalrätin BDP/ZH
82,20171110,Adrian Amstutz, Nationalrat SVP/BE
83,20171110,Balthasar Glättli, Nationalrat Grüne/ZH
84,20171110,Markus Gygax, ehem. Chef Luftwaffe
85,20171110,Lewin Lempert, Sekretär GSOA
86,20170317,Andrea Caroni, Ständerat FDP/AR
87,20170317,Chantal Galladé, Nationalrätin SP/ZH
88,20170317,Roland Rino Büchel, Nationalrat SVP/SG
89,20170317,Tiana Angelina Moser, Nationalrätin GLP/ZH
90,20170324,Nicole Nickerson, Präsidentin Young European Swiss (YES)
91,20170324,Christoph Blocher, Chefstratege SVP
92,20170324,Filippo Lombardi, Ständerat CVP/TI und Fraktionschef CVP
93,20170324,Eric Nussbaumer, Nationalrat SP/BL
94,20170324,Monika Rühl, Direktorin Economiesuisse
95,20190201,Barbara Gysi, Nationalrätin SP/SG
96,20190201,Ruth Humbel, Nationalrätin CVP/AG
97,20190201,Sebastian Frehner, Nationalrat SVP/BS
98,20190201,Thomas Heiniger, Regierungsrat ZH/FDP
99,20190201,Tilman Slembeck, Gesundheitsökonom
100,20180907,Tiana Angelina Moser, Nationalrätin GLP/ZH
101,20180907,Josef Dittli, Ständerat FDP/UR
102,20180907,Lewin Lempert, Sekretär GSOA / Vizepräsident Juso Schweiz
103,20180907,Claudio Zanetti, Nationalrat SVP/ZH
104,20180907,Rosmarie Quadranti, Nationalrätin BDP/ZH
105,20180907,Urs Loher, CEO Rheinmetall
106,20160924,Petra Gössi, Präsidentin FDP
107,20160924,Pirmin Bischof, Ständerat CVP/SO
108,20160924,Albert Rösti, Präsident SVP
109,20160924,Cédric Wermuth, Nationalrat SP/AG
110,20180921,Albert Rösti, Präsident SVP
111,20180921,Beat Jans, Vizepräsident SP
112,20180921,Petra Gössi, Präsidentin FDP
113,20180921,Gerhard Pfister, Präsident CVP
114,20180921,Regula Rytz, Präsidentin Grüne
115,20180921,Jürg Grossen, Präsident GLP
116,20180921,Martin Landolt, Präsident BDP
