,date,title,description,link
0,20181123,Gekaufte Abstimmungen?,"Befürworter wie auch Gegner der Selbstbestimmungs-Initiative geben Millionen von Franken aus, um das Volk zu überzeugen. Kann man Abstimmungen kaufen? Braucht es mehr Transparenz? Welche Rolle spielt Geld überhaupt in der Politik?",https://www.srf.ch/sendungen/arena/gekaufte-abstimmungen
1,20170929,Am runden Tisch,"Ob Unternehmenssteuer oder Altersvorsorge: In der Schweiz scheitern wichtige Reformen. Wieso? Liegt das Problem bei Politikern, bei Parteien – oder bei Medien, welche Politik immer stärker boulevardisieren und personalisieren?",https://www.srf.ch/sendungen/arena/am-runden-tisch
2,20161118,Kapitalismus oder Klassenkampf?,"Trump gewinnt, Europa rutscht nach rechts. Aber was sind die Rezepte der Linken dagegen? Die SP Schweiz und ihr Präsident Christian Levrat reagieren mit Kapitalismus-Kritik: Mehr soziale Gerechtigkeit sei die Lösung, finden sie.",https://www.srf.ch/sendungen/arena/kapitalismus-oder-klassenkampf
3,20180309,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",https://www.srf.ch/sendungen/arena/blocher-auf-zum-letzten-gefecht
4,20170526,Die Parteipräsidenten,"Fast ist Halbzeit in Bern: Was hat die erste Legislatur-Hälfte gebracht? Wer sind die Sieger, wer die Verlierer? Die grosse Analyse in der «Arena»: Wer ist schuld an der versenkten Unternehmenssteuer-Reform III? Was taugt der angebliche bürgerliche Schulterschluss? Und wie geht es weiter mit Europa?",https://www.srf.ch/sendungen/arena/die-parteipraesidenten
5,20171117,Profit statt Moral?,Steuervermeidung und Rohstoffhandel: Von beidem profitieren auch Schweizer Konzerne. Gleichzeitig sind weltweit viele Menschen bitterarm. Ist das eine moderne Form der kolonialen Ausbeutung – oder profitieren von einem funktionierenden Markt schlussendlich alle?,https://www.srf.ch/sendungen/arena/profit-statt-moral
6,20170922,Blocher gegen alle,"Ob der neue Aussenminister nun Ignazio Cassis oder Alain Berset heisst – die SVP wird ihn bekämpfen. Ist Europapolitik überhaupt möglich, solange Christoph Blocher die Fäden zieht? Oder umgekehrt: Rettet uns nur die SVP vor dem «schleichenden EU-Beitritt»?",https://www.srf.ch/sendungen/arena/blocher-gegen-alle
7,20161104,Wer hat das Sagen im Land?,"Unterdessen ist klar: Die Masseneinwanderungsinitiative wird nicht wirklich umgesetzt. Verrät die Politik hier das Volk? Oder liegt der Fehler bei der SVP? Spaltet die mächtigste Partei der Schweiz unnötig unser Land und macht Versprechungen, die keiner halten kann?",https://www.srf.ch/sendungen/arena/wer-hat-das-sagen-im-land
8,20170407,Die Attacke,"Die SVP zielt auf die Menschenrechts-Konvention: Sie möchte, dass Schweizer Recht über allem steht, auch über dem Gerichtshof für Menschenrechte in Strassburg. Wie gefährlich ist die sogenannte «Selbstbestimmungsinitiative» der SVP? Und: Wie wichtig ist es uns, alles «selbst bestimmen» zu können?",https://www.srf.ch/sendungen/arena/die-attacke
9,20170505,Sind wir zu freizügig?,Europa wird immer EU-kritischer: In Frankreich könnte Marine Le Pen vom «Front National» Präsidentin werden – und auch in der Schweiz wird die Personenfreizügigkeit nun frontal angegriffen. Kippt die EU?,https://www.srf.ch/sendungen/arena/sind-wir-zu-freizuegig
